# latex scheme: conventional LaTeX + AMS macro names.
# Generated by scripts/update-latex-symbols.py from https://www.w3.org/Math/characters/unicode.xml
# W3C XML Entity Definitions for Characters (W3C license).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
guilsinglright	203A	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
hat	0302	COMBINING CIRCUMFLEX ACCENT
heartsuit	2661	WHITE HEART SUIT
hermitconjmatrix	22B9	HERMITIAN CONJUGATE MATRIX
hksearow	2925	SOUTH EAST ARROW WITH HOOK
hkswarow	2926	SOUTH WEST ARROW WITH HOOK
homothetic	223B	HOMOTHETIC
hookleftarrow	21A9	LEFTWARDS ARROW WITH HOOK
hookrightarrow	21AA	RIGHTWARDS ARROW WITH HOOK
hslash	210F	PLANCK CONSTANT OVER TWO PI
hspace	200A	HAIR SPACE
i	0131	LATIN SMALL LETTER DOTLESS I
iiiint	2A0C	QUADRUPLE INTEGRAL OPERATOR
iiint	222D	TRIPLE INTEGRAL
iint	222C	DOUBLE INTEGRAL
image	22B7	IMAGE OF
imath	0131	LATIN SMALL LETTER DOTLESS I
in	2208	ELEMENT OF
infty	221E	INFINITY
int	222B	INTEGRAL
intBar	2A0E	INTEGRAL WITH DOUBLE STROKE
intbar	2A0D	FINITE PART INTEGRAL
intcap	2A19	INTEGRAL WITH INTERSECTION
intcup	2A1A	INTEGRAL WITH UNION
intercal	22BA	INTERCALATE
interleave	2AF4	TRIPLE VERTICAL BAR BINARY RELATION
intprod	2A3C	INTERIOR PRODUCT
intprodr	2A3D	RIGHTHAND INTERIOR PRODUCT
intx	2A18	INTEGRAL WITH TIMES SIGN
iota	03B9	GREEK SMALL LETTER IOTA
jupiter	2643	JUPITER
k	0328	COMBINING OGONEK
kappa	03BA	GREEK SMALL LETTER KAPPA
kernelcontraction	223B	HOMOTHETIC
l	0142	LATIN SMALL LETTER L WITH STROKE
lambda	03BB	GREEK SMALL LETTER LAMDA
langle	2329	LEFT-POINTING ANGLE BRACKET
lazysinv	223E	INVERTED LAZY S
lbrace	007B	LEFT CURLY BRACKET
lbrack	005B	LEFT SQUARE BRACKET
lceil	2308	LEFT CEILING
ldots	2026	HORIZONTAL ELLIPSIS
le	2264	LESS-THAN OR EQUAL TO
leftarrow	2190	LEFTWARDS ARROW
leftarrowtail	21A2	LEFTWARDS ARROW WITH TAIL
leftarrowtriangle	21FD	LEFTWARDS OPEN-HEADED ARROW
leftharpoondown	21BD	LEFTWARDS HARPOON WITH BARB DOWNWARDS
leftharpoonup	21BC	LEFTWARDS HARPOON WITH BARB UPWARDS
leftleftarrows	21C7	LEFTWARDS PAIRED ARROWS
leftrightarrow	2194	LEFT RIGHT ARROW
leftrightarrows	21C6	LEFTWARDS ARROW OVER RIGHTWARDS ARROW
leftrightharpoons	21CB	LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
leftrightsquigarrow	21AD	LEFT RIGHT WAVE ARROW
leftsquigarrow	219C	LEFTWARDS WAVE ARROW
leftthreetimes	22CB	LEFT SEMIDIRECT PRODUCT
leo	264C	LEO
leq	2264	LESS-THAN OR EQUAL TO
leqq	2266	LESS-THAN OVER EQUAL TO
leqslant	2A7D	LESS-THAN OR SLANTED EQUAL TO
less	003C	LESS-THAN SIGN
lessapprox	2A85	LESS-THAN OR APPROXIMATE
lessdot	22D6	LESS-THAN WITH DOT
lesseqgtr	22DA	LESS-THAN EQUAL TO OR GREATER-THAN
lesseqqgtr	22DA	LESS-THAN EQUAL TO OR GREATER-THAN
lessequivlnt	2272	LESS-THAN OR EQUIVALENT TO
lessgtr	2276	LESS-THAN OR GREATER-THAN
lesssim	2272	LESS-THAN OR EQUIVALENT TO
lfloor	230A	LEFT FLOOR
libra	264E	LIBRA
ll	226A	MUCH LESS-THAN
llcorner	231E	BOTTOM LEFT CORNER
lmoustache	23B0	UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION
lnapprox	2A89	LESS-THAN AND NOT APPROXIMATE
lneq	2268	LESS-THAN BUT NOT EQUAL TO
lneqq	2268	LESS-THAN BUT NOT EQUAL TO
lnot	00AC	NOT SIGN
lnsim	22E6	LESS-THAN BUT NOT EQUIVALENT TO
longleftarrow	27F5	LONG LEFTWARDS ARROW
longleftrightarrow	27F7	LONG LEFT RIGHT ARROW
longmapsto	27FC	LONG RIGHTWARDS ARROW FROM BAR
longrightarrow	27F6	LONG RIGHTWARDS ARROW
