# rocq scheme: RocqIDE default unicode bindings (latex-style).
# Generated by scripts/update-rocq-symbols.py from https://raw.githubusercontent.com/rocq-prover/rocq/master/ide/rocqide/default_bindings_src.ml
# rocq-prover/rocq (LGPL-2.1-only).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
ThickSpace	2009 200A 200A	spaces
ThinSpace	2009	spaces
Tilde	223C	symbols
TildeEqual	2243	equivalence relations
TildeFullEqual	2245	equivalence relations
TildeTilde	2248	equivalence relations
Topf	1D54B	letters
TripleDot	20DB	symbols
Tscr	1D4AF	miscellanea
Tstrok	0166	letters
Uacute	00DA	letters
Uarr	219F	arrows
Uarrocir	2949	arrows
Ubrcy	040E	letters
Ubreve	016C	letters
Ucirc	00DB	letters
Ucy	0423	letters
Udblac	0170	letters
Ufr	1D518	miscellanea
Ugrave	00D9	letters
Umacr	016A	letters
UnderBar	0332	symbols
UnderBrace	FE38	symbols
UnderBracket	23B5	miscellanea
UnderParenthesis	FE36	symbols
Union	22C3	set theory
UnionPlus	228E	set theory
Uogon	0172	letters
Uopf	1D54C	letters
UpArrow	2191	arrows
UpArrowBar	2912	arrows
UpArrowDownArrow	21C5	arrows
UpDownArrow	2195	arrows
UpEquilibrium	296E	arrows
UpTee	22A5	logic
UpTeeArrow	21A5	arrows
Uparrow	21D1	arrows
Updownarrow	21D5	arrows
UpperLeftArrow	2196	arrows
UpperRightArrow	2197	arrows
Upsilon	03D2	greek letter
Uring	016E	letters
Uscr	1D4B0	miscellanea
Utilde	0168	letters
Uuml	00DC	letters
VDash	22AB	logic
Vbar	2AEB	miscellanea
Vcy	0412	letters
Vdash	22A9	logic
Vdashl	2AE6	miscellanea
Vee	22C1	logic
Verbar	2016	symbols
Vert	2016	symbols
VerticalBar	2223	mathematics
VerticalSeparator	2758	symbols
VerticalTilde	2240	symbols
VeryThinSpace	200A	spaces
Vfr	1D519	miscellanea
Vopf	1D54D	letters
Vscr	1D4B1	miscellanea
Vvdash	22AA	logic
Wcirc	0174	letters
Wedge	22C0	logic
Wfr	1D51A	miscellanea
Wopf	1D54E	letters
Wscr	1D4B2	miscellanea
Xfr	1D51B	miscellanea
Xi	039E	greek letter
Xopf	1D54F	letters
Xscr	1D4B3	miscellanea
YAcy	042F	letters
YIcy	0407	letters
YUcy	042E	letters
Yacute	00DD	letters
Yang	268A	symbols
Ycirc	0176	letters
Ycy	042B	letters
Yfr	1D51C	miscellanea
Yopf	1D550	letters
Yscr	1D4B4	miscellanea
Yuml	0178	letters
ZHcy	0416	letters
Zacute	0179	letters
Zcaron	017D	letters
Zcy	0417	letters
Zdot	017B	letters
ZeroWidthSpace	200B	spaces
Zfr	2128	letters
Zopf	2124	letters
Zscr	1D4B5	miscellanea
aacute	00E1	letters
abreve	0103	letters
ac	290F	arrows
acE	29DB	miscellanea
acd	223F	symbols
acirc	00E2	letters
acute	00B4	symbols
acy	0430	letters
aelig	00E6	letters
af	2061	spaces
afr	1D51E	miscellanea
agrave	00E0	letters
aleph	2135	letters
alpha	03B1	greek letter
amacr	0101	letters
amalg	2A3F	miscellanea
and	2227	logic
andand	2A55	miscellanea
andd	2A5C	miscellanea
andslope	2A58	miscellanea
andv	2A5A	miscellanea
ang	2220	symbols
ange	29A4	miscellanea
angle	2220	symbols
angmsd	2221	symbols
angmsdaa	29A8	miscellanea
angmsdab	29A9	miscellanea
angmsdac	29AA	miscellanea
angmsdad	29AB	miscellanea
angmsdae	29AC	miscellanea
angmsdaf	29AD	miscellanea
angmsdag	29AE	miscellanea
angmsdah	29AF	miscellanea
angrt	221F	symbols
angrtvb	299D	miscellanea
angrtvbd	299D	miscellanea
angsph	2222	symbols
angst	212B	letters
angzarr	237C	miscellanea
aogon	0105	letters
aopf	1D552	letters
ap	2248	equivalence relations
apE	224A	equivalence relations
apacir	2A6F	miscellanea
ape	224A	equivalence relations
apid	224B	equivalence relations
approx	2248	equivalence relations
approxeq	224A	equivalence relations
aring	00E5	letters
ascr	1D4B6	miscellanea
asymp	224D	equivalence relations
atilde	00E3	letters
auml	00E4	letters
awconint	2233	mathematics
awint	2A11	mathematics
bNot	2AED	miscellanea
backcong	224C	equivalence relations
backepsilon	03F6	greek letter
backprime	2035	symbols
backsim	223D	equivalence relations
backsimeq	22CD	equivalence relations
barvee	22BD	symbols
barwed	22BC	symbols
barwedge	22BC	symbols
bbrk	23B5	miscellanea
bcong	224C	equivalence relations
bcy	0431	letters
becaus	2235	symbols
because	2235	symbols
bemptyv	29B0	miscellanea
bepsi	03F6	greek letter
bernou	212C	letters
beta	03B2	greek letter
beth	2136	letters
between	226C	set theory
bfr	1D51F	miscellanea
bigcap	22C2	set theory
bigcirc	25EF	circles
bigcup	22C3	set theory
bigodot	2299	circles
bigoplus	2295	circles
bigotimes	2297	circles
bigsqcup	2294	set theory
bigstar	2605	symbols
bigtriangledown	25BD	triangles
bigtriangleup	25B3	triangles
biguplus	228E	set theory
bigvee	22C1	logic
bigwedge	22C0	logic
bkarow	290D	arrows
blacklozenge	29EB	symbols
blacksquare	25AA	squares
blacktriangle	25B4	triangles
blacktriangledown	25BE	triangles
blacktriangleleft	25C2	triangles
blacktriangleright	25B8	triangles
blank	2423	symbols
blk12	2592	ASCII art
blk14	2591	ASCII art
blk34	2593	ASCII art
block	2588	ASCII art
bnequiv	2261 20E5	miscellanea
bnot	2310	symbols
bopf	1D553	letters
bot	22A5	logic
bottom	22A5	logic
bowtie	22C8	symbols
boxDL	2557	ASCII art
boxDR	2554	ASCII art
boxDl	2556	ASCII art
boxDr	2553	ASCII art
boxH	2550	ASCII art
boxHD	2566	ASCII art
boxHU	2569	ASCII art
boxHd	2564	ASCII art
boxHu	2567	ASCII art
boxUL	255D	ASCII art
boxUR	255A	ASCII art
boxUl	255C	ASCII art
boxUr	2559	ASCII art
boxV	2551	ASCII art
boxVH	256C	ASCII art
boxVL	2563	ASCII art
boxVR	2560	ASCII art
boxVh	256B	ASCII art
boxVl	2562	ASCII art
boxVr	255F	ASCII art
boxbox	29C9	miscellanea
boxdL	2555	ASCII art
boxdR	2552	ASCII art
boxdl	2510	ASCII art
boxdr	250C	ASCII art
boxh	2500	ASCII art
boxhD	2565	ASCII art
boxhU	2568	ASCII art
boxhd	252C	ASCII art
boxhu	2534	ASCII art
boxminus	229F	squares
boxplus	229E	squares
boxtimes	22A0	squares
boxuL	255B	ASCII art
boxuR	2558	ASCII art
boxul	2518	ASCII art
boxur	2514	ASCII art
boxv	2502	ASCII art
boxvH	256A	ASCII art
boxvL	2561	ASCII art
boxvR	255E	ASCII art
boxvh	253C	ASCII art
boxvl	2524	ASCII art
boxvr	251C	ASCII art
bprime	2035	symbols
breve	02D8	symbols
brvbar	00A6	symbols
bscr	1D4B7	miscellanea
bsemi	204F	symbols
bsim	223D	equivalence relations
bsime	22CD	equivalence relations
bsolb	29C5	miscellanea
bull	2022	circles
bullet	2022	circles
bump	224E	equivalence relations
bumpE	2AAE	equivalence relations
bumpe	224F	equivalence relations
bumpeq	224F	equivalence relations
cacute	0107	letters
cap	2229	set theory
capand	2A44	miscellanea
capbrcup	2A49	miscellanea
capcap	2A4B	miscellanea
capcup	2A47	miscellanea
capdot	2A40	miscellanea
caps	2229	miscellanea
caret	2041	symbols
caron	02C7	symbols
ccaps	2A4D	miscellanea
ccaron	010D	letters
ccedil	00E7	letters
ccirc	0109	letters
ccups	2A4C	miscellanea
ccupssm	2A50	miscellanea
cdot	010B	letters
cdots	22EF	symbols
cedil	00B8	symbols
cemptyv	29B2	miscellanea
cent	00A2	symbols
centerdot	00B7	symbols
cfr	1D520	miscellanea
chcy	0447	letters
check	2713	symbols
checkmark	2713	symbols
chi	03C7	greek letter
cir	25CB	circles
cirE	29C3	miscellanea
circ	2218	circles
circeq	2257	equivalence relations
circlearrowleft	21BA	arrows
circlearrowright	21BB	arrows
circledR	00AE	circles
circledS	24C8	circles
circledast	229B	circles
circledcirc	229A	circles
circleddash	229D	circles
cire	2257	equivalence relations
cirfnint	2A10	mathematics
cirmid	2AEF	miscellanea
cirscir	29C2	miscellanea
clubs	2663	symbols
clubsuit	2663	symbols
colone	2254	equivalence relations
coloneq	2254	equivalence relations
comp	2201	letters
compfn	2218	circles
complement	2201	letters
complexes	2102	letters
cong	2245	equivalence relations
congdot	2A6D	miscellanea
conint	222E	mathematics
copf	1D554	letters
coprod	2210	set theory
copy	00A9	circles
copysr	2117	letters
cross	2717	symbols
cscr	1D4B8	miscellanea
csub	2ACF	miscellanea
csube	2AD1	miscellanea
csup	2AD0	miscellanea
csupe	2AD2	miscellanea
ctdot	22EF	symbols
cudarrl	2938	arrows
cudarrr	2935	arrows
cuepr	22DE	order relations
cuesc	22DF	order relations
cularr	21B6	arrows
cularrp	293D	arrows
cup	222A	set theory
cupbrcap	2A48	miscellanea
cupcap	2A46	miscellanea
cupcup	2A4A	miscellanea
cupdot	228D	set theory
cupor	2A45	miscellanea
cups	222A	miscellanea
curarr	21B7	arrows
curarrm	293C	arrows
curlyeqprec	22DE	order relations
curlyeqsucc	22DF	order relations
curlyvee	22CE	symbols
curlywedge	22CF	symbols
curren	00A4	symbols
curvearrowleft	21B6	arrows
curvearrowright	21B7	arrows
cuvee	22CE	symbols
cuwed	22CF	symbols
cwconint	2232	mathematics
cwint	2231	mathematics
cylcty	232D	miscellanea
dArr	21D3	arrows
dHar	2965	arrows
dagger	2020	symbols
daleth	2138	letters
darr	2193	arrows
dash	2010	symbols
dashv	22A3	logic
